timestamp,date,device,role,event_kind,trial_ab_hits,daemon_seam_hits,evidence_pressure_hits,cloud_trust_hits,axis_count,axis_summary,duplicate_path_count,preferred_path,all_paths,basename,source_root_label,raw_axis_rows
2025-08-03 20:32:46,2025-08-03,USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,612,301,1,0,3,daemon_seam:301;evidence_pressure:1;trial_ab:612,1,USER_DEVICE_11PRO/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-203246.ips,USER_DEVICE_11PRO/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-203246.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-203246.ips,my_device_logs,3
2025-08-04 00:14:02,2025-08-04,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,8,3,1,0,3,daemon_seam:3;evidence_pressure:1;trial_ab:8,1,USER_BRIDGE_15G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-001402.ips,USER_BRIDGE_15G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-001402.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-001402.ips,my_device_logs,3
2025-08-04 04:30:30,2025-08-04,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,33,15,1,0,3,daemon_seam:15;evidence_pressure:1;trial_ab:33,3,USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,my_device_logs,9
2025-08-04 04:54:42,2025-08-04,USER_ORIGIN_MINI1,ORIGIN_CORE,PROACTIVE_TRIALD_DIRECT,294,127,1,2,4,cloud_trust:2;daemon_seam:127;evidence_pressure:1;trial_ab:294,1,USER_ORIGIN_MINI1/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips,USER_ORIGIN_MINI1/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips,my_device_logs,4
2025-08-04 05:31:36,2025-08-04,USER_DEVICE_12G,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,82,38,1,0,3,daemon_seam:38;evidence_pressure:1;trial_ab:82,2,USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips | 退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-04/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,my_device_logs,6
2025-08-04 05:40:38,2025-08-04,EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,PROACTIVE_TRIALD_DIRECT,116,52,1,0,3,daemon_seam:52;evidence_pressure:1;trial_ab:116,1,EXT_UNCERTAIN_B/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips,EXT_UNCERTAIN_B/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips,friend_device_logs,3
2025-08-04 18:35:47,2025-08-04,EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,PROACTIVE_TRIALD_DIRECT,173,79,1,0,3,daemon_seam:79;evidence_pressure:1;trial_ab:173,1,Ha Thao/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips,Ha Thao/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips,friend_device_logs,3
2025-08-04 21:25:17,2025-08-04,USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,527,260,1,0,3,daemon_seam:260;evidence_pressure:1;trial_ab:527,1,USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips,USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips,my_device_logs,3
2025-08-04 21:37:02,2025-08-04,EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,TRIALD_CPU_RESOURCE_DIRECT,71,6,1,0,3,daemon_seam:6;evidence_pressure:1;trial_ab:71,1,EXT_REMOTE_GEO_C/2025/08/4/triald.cpu_resource-2025-08-04-213702.ips,EXT_REMOTE_GEO_C/2025/08/4/triald.cpu_resource-2025-08-04-213702.ips,triald.cpu_resource-2025-08-04-213702.ips,friend_device_logs,3
2025-08-05 00:28:52,2025-08-05,EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,PROACTIVE_TRIALD_DIRECT,149,65,1,0,3,daemon_seam:65;evidence_pressure:1;trial_ab:149,1,EXT_NO_CONTACT_A/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-002852.ips,EXT_NO_CONTACT_A/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-002852.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-002852.ips,friend_device_logs,3
2025-08-05 06:42:39,2025-08-05,USER_ORIGIN_MINI1,ORIGIN_CORE,PROACTIVE_TRIALD_DIRECT,383,133,1,43,4,cloud_trust:43;daemon_seam:133;evidence_pressure:1;trial_ab:383,1,USER_ORIGIN_MINI1/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-064239.ips,USER_ORIGIN_MINI1/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-064239.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-064239.ips,my_device_logs,4
2025-08-05 06:51:36,2025-08-05,USER_DEVICE_12G,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,296,137,1,0,3,daemon_seam:137;evidence_pressure:1;trial_ab:296,2,USER_DEVICE_12G/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,USER_DEVICE_12G/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips | 退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-05/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-065136.ips,my_device_logs,6
2025-08-05 07:01:55,2025-08-05,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,100,43,1,0,3,daemon_seam:43;evidence_pressure:1;trial_ab:100,3,USER_DEVICE_MINI2/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,USER_DEVICE_MINI2/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-070155.ips,my_device_logs,9
2025-08-05 08:09:33,2025-08-05,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,67,27,1,0,3,daemon_seam:27;evidence_pressure:1;trial_ab:67,1,USER_BRIDGE_15G/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-080933.ips,USER_BRIDGE_15G/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-080933.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-080933.ips,my_device_logs,3
2025-08-05 18:02:01,2025-08-05,EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,PROACTIVE_TRIALD_DIRECT,98,43,1,0,3,daemon_seam:43;evidence_pressure:1;trial_ab:98,1,EXT_NO_CONTACT_A/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-180201.ips,EXT_NO_CONTACT_A/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-180201.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-180201.ips,friend_device_logs,3
2025-08-05 19:00:35,2025-08-05,EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,PROACTIVE_TRIALD_DIRECT,106,48,1,0,3,daemon_seam:48;evidence_pressure:1;trial_ab:106,1,Ha Thao/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-190035.ips,Ha Thao/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-190035.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-190035.ips,friend_device_logs,3
2025-08-05 23:22:06,2025-08-05,USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,254,126,1,0,3,daemon_seam:126;evidence_pressure:1;trial_ab:254,1,USER_DEVICE_11PRO/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-232206.ips,USER_DEVICE_11PRO/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-232206.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-232206.ips,my_device_logs,3
2025-08-05 23:34:31,2025-08-05,USER_ORIGIN_MINI1,ORIGIN_CORE,PROACTIVE_TRIALD_DIRECT,224,90,1,0,3,daemon_seam:90;evidence_pressure:1;trial_ab:224,1,USER_ORIGIN_MINI1/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-233431.ips,USER_ORIGIN_MINI1/2025/08/5/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-233431.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-05-233431.ips,my_device_logs,3
2025-08-06 02:10:35,2025-08-06,USER_DEVICE_12G,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,151,70,1,0,3,daemon_seam:70;evidence_pressure:1;trial_ab:151,2,USER_DEVICE_12G/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,USER_DEVICE_12G/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips | 退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-06/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-021035.ips,my_device_logs,6
2025-08-06 02:53:14,2025-08-06,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,71,27,1,0,3,daemon_seam:27;evidence_pressure:1;trial_ab:71,1,USER_BRIDGE_15G/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-025314.ips,USER_BRIDGE_15G/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-025314.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-025314.ips,my_device_logs,3
2025-08-06 04:08:53,2025-08-06,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,172,75,1,0,3,daemon_seam:75;evidence_pressure:1;trial_ab:172,2,USER_DEVICE_MINI2/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,USER_DEVICE_MINI2/2025/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-040853.ips,my_device_logs,6
2025-08-06 04:56:24,2025-08-06,EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,PROACTIVE_TRIALD_DIRECT,64,29,1,0,3,daemon_seam:29;evidence_pressure:1;trial_ab:64,1,EXT_UNCERTAIN_B/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-045624.ips,EXT_UNCERTAIN_B/08/6/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-045624.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-06-045624.ips,friend_device_logs,3
