device,date,timestamp,event_kind,basename,duplicate_path_count,preferred,path,axis_summary_for_path
USER_DEVICE_MINI2,2025-08-03,2025-08-03 09:18:50,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,3,YES,USER_DEVICE_MINI2/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,daemon_seam:64;evidence_pressure:1;trial_ab:146
USER_DEVICE_MINI2,2025-08-03,2025-08-03 09:18:50,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,daemon_seam:64;evidence_pressure:1;trial_ab:146
USER_DEVICE_MINI2,2025-08-03,2025-08-03 09:18:50,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,daemon_seam:64;evidence_pressure:1;trial_ab:146
USER_DEVICE_12G,2025-08-03,2025-08-03 10:53:21,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,2,YES,USER_DEVICE_12G/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,daemon_seam:29;evidence_pressure:1;trial_ab:60
USER_DEVICE_12G,2025-08-03,2025-08-03 10:53:21,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-03/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,daemon_seam:29;evidence_pressure:1;trial_ab:60
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:30:30,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,3,YES,USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,daemon_seam:15;evidence_pressure:1;trial_ab:33
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:30:30,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,daemon_seam:15;evidence_pressure:1;trial_ab:33
USER_DEVICE_MINI2,2025-08-04,2025-08-04 04:30:30,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips,daemon_seam:15;evidence_pressure:1;trial_ab:33
USER_DEVICE_12G,2025-08-04,2025-08-04 05:31:36,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,2,YES,USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,daemon_seam:38;evidence_pressure:1;trial_ab:82
USER_DEVICE_12G,2025-08-04,2025-08-04 05:31:36,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-04/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips,daemon_seam:38;evidence_pressure:1;trial_ab:82
