origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-01,USER_DEVICE_MINI2,2025-08-04,3,B_RAW_WINDOW_SUPPORT,A_CROSS_CORE_0804,400.317,318.885,426.964,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_CONTACT_E_12PROMAX,2025-08-08,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,346.939,426.376,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_BRIDGE_15G,2025-08-04,1,B_RAW_WINDOW_SUPPORT,A_CROSS_CORE_0804,400.553,306.626,424.764,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,USER_BRIDGE_15G,2025-08-04,3,B_RAW_WINDOW_SUPPORT,A_CROSS_CORE_0804,400.317,306.626,424.705,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,USER_DEVICE_MINI2,2025-08-02,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,318.985,424.066,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,USER_DEVICE_MINI2,2025-08-06,2,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,318.889,424.06,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,EXT_CONTACT_D,2025-08-07,3,A_CROSS_CORE_0804,B_RAW_WINDOW_SUPPORT,420.684,316.499,421.67,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-05,USER_DEVICE_MINI2,2025-08-06,1,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,410.032,318.889,421.397,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,EXT_CONTACT_D,2025-08-02,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,420.325,316.146,421.227,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-07,EXT_CONTACT_D,2025-08-07,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,418.6,316.499,421.149,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
