device,date,csv_support_score,csv_axes_present,csv_total_hits,csv_trial_ab,csv_cloud_trust,csv_policy_restriction,csv_backup_manifest,csv_telecom_wifi_proximity,csv_daemon_seam,csv_evidence_pressure,csv_lateral_trust,csv_shadow_cloud_terms
USER_DEVICE_MINI2,2025-08-09,172.555,9,122394,8973,19462,7036,20916,17707,5278,22267,8835,11920
USER_DEVICE_11PRO,2025-08-09,170.312,9,38917,3808,5140,2359,6126,6241,2339,6292,2695,3917
LOW_EXPOSURE_IPAD,2025-08-09,49.315,8,33,3,3,3,3,3,3,9,6,0
EXT_UNCERTAIN_B,2025-08-09,159.84,9,13740,1032,1639,667,1312,1217,1899,2988,152,2834
EXT_REMOTE_GEO_C,2025-08-09,129.177,9,4041,832,272,226,22,849,113,602,64,1061
EXT_CONTACT_D,2025-08-09,169.054,9,49575,5284,6610,4949,6221,5918,3215,8615,427,8336
EXT_CONTACT_E_12PROMAX,2025-08-09,168.985,9,75587,9455,9893,8762,9212,10576,2868,12708,420,11693
EXT_CONTACT_E_6SPLUS,2025-08-09,2.576,1,2,0,0,0,0,0,0,2,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-09,50.83,6,98,4,36,0,10,4,10,34,0,0
USER_ORIGIN_MINI1,2025-08-10,174.401,9,143012,10231,17512,7347,15033,16780,12114,31797,14756,17442
USER_BRIDGE_15G,2025-08-10,170.985,9,37082,3955,3887,742,3961,8944,3798,6688,1843,3264
USER_DEVICE_12G,2025-08-10,170.917,9,42560,4308,6393,1086,5569,6014,3036,8498,3047,4609
USER_DEVICE_MINI2,2025-08-10,171.465,9,42039,3978,5570,762,5642,5854,4362,8607,3161,4103
USER_DEVICE_11PRO,2025-08-10,168.329,9,19481,1888,2615,806,2832,2631,1988,3888,994,1839
LOW_EXPOSURE_IPAD,2025-08-10,49.315,8,33,3,3,3,3,3,3,9,6,0
EXT_UNCERTAIN_B,2025-08-10,164.248,9,34294,4286,4532,4008,4185,4486,1715,5746,127,5209
EXT_REMOTE_GEO_C,2025-08-10,126.439,9,2909,551,304,239,42,558,109,498,33,575
EXT_CONTACT_D,2025-08-10,169.369,9,55771,6190,7862,4247,6592,7672,2748,9989,516,9955
EXT_CONTACT_E_12PROMAX,2025-08-10,170.568,9,85656,11462,11683,9802,10012,12242,3307,13742,665,12741
EXT_CONTACT_E_6SPLUS,2025-08-10,7.622,3,6,0,2,0,0,0,2,2,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-10,38.799,5,92,10,24,0,4,0,14,40,0,0
