device,date,role,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,raw_trial_ab,raw_cloud_trust,raw_policy_restriction,raw_backup_manifest,raw_telecom_wifi_proximity,raw_daemon_seam,raw_evidence_pressure,raw_lateral_trust,raw_shadow_cloud_terms
USER_ORIGIN_MINI1,2025-08-07,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,346.59,9,21676,2663,2457,47,996,6260,1463,6752,1018,20
USER_BRIDGE_15G,2025-08-07,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,309.428,9,6741,308,831,6,694,1026,1392,440,1896,148
USER_DEVICE_12G,2025-08-07,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,345.246,9,26096,928,6772,72,6138,4400,815,6217,622,132
USER_DEVICE_MINI2,2025-08-07,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,221.91,9,1055,311,26,2,29,70,171,358,58,30
USER_DEVICE_11PRO,2025-08-07,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,215.874,9,757,59,381,13,13,111,33,97,16,34
EXT_NO_CONTACT_A,2025-08-07,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,269.204,9,2795,246,790,10,530,187,65,868,41,58
EXT_UNCERTAIN_B,2025-08-07,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,279.417,9,3333,280,713,11,114,847,254,1008,101,5
EXT_REMOTE_GEO_C,2025-08-07,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,252.135,9,1099,120,74,27,114,151,201,264,129,19
EXT_CONTACT_D,2025-08-07,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,252.461,9,2176,250,980,11,22,141,162,511,33,66
EXT_CONTACT_E_12PROMAX,2025-08-07,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,301.177,9,12547,158,10357,238,297,165,517,485,322,8
EXT_CONTACT_E_6SPLUS,2025-08-07,EXTERNAL_CONTACT_KNOWN,D_WEAK_OR_GENERIC,165.651,7,745,0,71,1,378,30,125,107,33,0
USER_ORIGIN_MINI1,2025-08-08,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,335.289,9,16243,2140,1409,46,174,4479,1488,5582,906,19
USER_BRIDGE_15G,2025-08-08,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,218.75,8,1039,64,686,7,27,33,81,87,54,0
USER_DEVICE_12G,2025-08-08,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,309.785,9,6541,874,1638,22,1096,916,477,1404,112,2
USER_DEVICE_MINI2,2025-08-08,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,304.132,9,5586,336,2503,37,347,365,936,233,814,15
USER_DEVICE_11PRO,2025-08-08,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,228.872,9,1245,309,489,8,25,67,203,103,10,31
