device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
EXT_CONTACT_E_12PROMAX,2025-08-05,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,373.683,B_RAW_WINDOW_SUPPORT,307.202,9,13620,172.803,9,154045,326,19902,10812,21094,128,17740,308,19780,305,21258,530,4897,965,24807,232,1197,14,23370
USER_DEVICE_12G,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,370.59,B_RAW_WINDOW_SUPPORT,304.987,9,6007,170.293,9,69682,473,6866,1700,12730,16,3986,1166,11474,917,9754,257,1986,1301,12414,89,3937,88,6535
USER_DEVICE_MINI2,2025-08-08,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,369.692,B_RAW_WINDOW_SUPPORT,304.132,9,5586,170.172,9,25676,336,2278,2503,2657,37,924,347,3290,365,3368,936,3638,233,5157,814,1742,15,2622
USER_DEVICE_11PRO,2025-08-09,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,368.503,B_RAW_WINDOW_SUPPORT,302.894,9,5923,170.312,9,38917,274,3808,1327,5140,22,2359,1509,6126,1059,6241,204,2339,1410,6292,116,2695,2,3917
USER_DEVICE_12G,2025-08-01,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,367.982,B_RAW_WINDOW_SUPPORT,303.152,9,5016,168.085,9,18721,354,1865,965,2050,14,990,960,2430,942,3000,580,1666,1029,3392,108,1086,64,2242
EXT_CONTACT_E_12PROMAX,2025-08-07,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,367.847,B_RAW_WINDOW_SUPPORT,301.177,9,12547,173.344,9,175605,158,23063,10357,24947,238,17497,297,19097,165,25979,517,6141,485,30188,322,1010,8,27683
EXT_CONTACT_E_12PROMAX,2025-08-06,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,364.742,B_RAW_WINDOW_SUPPORT,299.035,9,9863,170.591,9,97464,208,12514,7626,12386,183,11801,126,10882,277,14040,411,3876,779,16377,246,578,7,15010
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,362.449,A_RAW_CORE_0804,288.239,9,9254,172.028,9,111734,134,14331,7653,14725,168,12977,183,13291,152,16381,382,3763,333,18576,248,976,1,16714
USER_DEVICE_11PRO,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,362.241,B_RAW_WINDOW_SUPPORT,296.489,9,5245,170.721,9,38967,303,4544,1833,5224,34,2834,1024,5368,742,5700,237,2909,1016,6873,53,1709,3,3806
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,361.325,A_RAW_CORE_0804,288.636,9,4240,167.683,9,18496,557,2094,832,2682,10,951,911,2622,681,2568,308,1580,881,3474,32,865,28,1660
EXT_CONTACT_D,2025-08-10,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,361.275,B_RAW_WINDOW_SUPPORT,295.996,9,5018,169.369,9,55771,318,6190,1831,7862,22,4247,787,6592,480,7672,231,2748,1207,9989,65,516,77,9955
USER_DEVICE_12G,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,358.603,B_RAW_WINDOW_SUPPORT,293.278,9,4536,169.499,9,24905,262,3043,914,2756,16,668,994,2195,922,3503,160,2315,1152,5536,58,1783,58,3106
