path,size_bytes,sha256
evidence-index/47_normal_control/00_input_paths.csv,550,a830969b0b39aa115c2dfa628df3b82edbcdfd6175d31e9fd37dce10b1556916
evidence-index/47_normal_control/01_normal_control_device_matrix.csv,6552,2e2d3712477e846f81288d2b610e1ed21918a77beb086a7dea68c293860009a6
evidence-index/47_normal_control/02_control_vs_core_stress_summary.csv,516,51928fd2917551146b696e63692baf6ebf0ac6a5ba0440cb7481b2444ffce773
evidence-index/47_normal_control/03_normal_explanation_collapse_table.csv,1017,f27dcdfdc38bd5fd45f63d7f790d52319864830dd4474b7ce73353e61b20885b
evidence-index/47_normal_control/04_control_candidate_details.csv,1483,2de9ebf9efb9fdede6b6b0c5c5ddf87fec1fa603f20f8809e7d47e9c35a9b44e
evidence-index/47_normal_control/05_layer_overlap_rank.csv,2101,072f68f6d8785f71fad01cbf066fc25478e99ddc367a79360ca5872ed030f337
evidence-index/47_normal_control/06_claim_boundary_notes.csv,731,e1cc1ed8173b96f459f9f4812cc58f196f255f641d1f04d97fe66f657a277264
evidence-index/47_normal_control/07_README_VERDICT.txt,829,f97e48f5cf50c659d22db02ca80e6f66e207ee21e8bc62c3cfddef1e37f23dbf
evidence-index/48_final_seal/00_MASTER_SUMMARY.json,7327,ea94c79697dc1f805c968878da10b043030326b03d4a2168ad0215e62c32fab7
evidence-index/48_final_seal/00_input_paths.csv,1355,12fac2bed98cb46fb2e85b066cfbc78af409a7e55cc75466e34d0143034e2869
evidence-index/48_final_seal/01_final_device_seal_matrix.csv,8965,71eab8275cc6258910c61409dd0f99aef68c2ef7167d038b2fe8e2180ef013fc
evidence-index/48_final_seal/02_final_verdict_summary.csv,1368,bce1022a34dacd0cf0580cdb92bbe7289b0ed40fd134da00677b2a007895e835
evidence-index/48_final_seal/03_role_lineage_model.csv,1648,176d514002d3de66ba6dae2957773824c5242b28257409c2cbdf38719cfb28a2
evidence-index/48_final_seal/04_layer_score_rank.csv,2555,316135c8dcc56725a8bbd3c308bc3a7524b4442daf70da1e39ad93ce0139a744
evidence-index/48_final_seal/05_normal_hypothesis_collapse_final.csv,1439,859869934d0908f87e34c8b9f062e036d5aaca91cd3f097d93949980daaded17
